==Song Title,Artist Name,Album Name,Duration (seconds),Is Solo Artist
Starboy,Daft Punk and The Weeknd,Starboy,230,true
Say,Keshi,REQUIEM,182,true
Daylight,Taylor Swift,Lover,295,true
we cant be friends (wait for your love),Ariana Grande,Eternal Sunshine,228,true
Night Changes,One Direction,Four,232,false
Double Take,Dhruv,Single,173,true
What Makes You Beautiful,One Direction,Up All Night,207,false
Steal My Girl,One Direction,Four,319,false
18,One Direction,Four,249,false
You & I,One Direction,Midnight Memories,245,false
Live While We are Young,One Direction,Take Me Home,198,false
Change My Mind,One Direction,Take Me Home,215,false
One of The Girls,The Weeknd,Cry In Silence,259,true
Blinding Lights,The Weeknd,After Hours,263,true
After Hours,The Weeknd,After Hours,263,true
Die For You,The Weeknd,Starboy,194,true
Dancing In The flame,The Weeknd,Hurry Up Tomorrow,257,true
Reminder,The Weeknd,Starboy,231,true
